GWIAZDA	jd	mag	idobs	kom
SS CYG	2453620.3826	9.3	ZSI	
DM DEL	2453621.3562	8.8	ZSI	
Z VUL	2453621.3569	7.4	ZSI	
AR LAC	2453621.3583	6.2	ZSI	
SS CYG	2453621.3597	8.8	ZSI	
CM LAC	2453621.3604	8.2	ZSI	
BG LAC	2453621.3638	9.1	ZSI	
RT LAC	2453621.3652	9.3	ZSI	
R SCT	2453621.3659	5.9	ZSI	
R CRB	2453621.3666	6	ZSI	
BETA LYR	2453621.3673	3.7	ZSI	
DELTA CEP	2453621.3680	4.3	ZSI	
ETA AQL	2453621.3687	4	ZSI	
X CYG	2453621.3694	7.1	ZSI	
V568 CYG	2453621.3701	6.3	ZSI	
GO CYG	2453621.3708	8.4	ZSI	
Y CYG	2453621.3715	7.2	ZSI	
Z LAC	2453621.3743	9	ZSI	
RR LAC	2453621.3750	8.4	ZSI	
X LAC	2453621.3756	8.2	ZSI	
V LAC	2453621.3763	9.2	ZSI	
T VUL	2453621.3791	6.2	ZSI	
EE PEG	2453621.3798	6.9	ZSI	
S EQU	2453621.3826	8	ZSI	
TX DEL	2453621.3840	9.3	ZSI	
S SGE	2453621.3847	5.5	ZSI	
U SGE	2453621.3854	6.3	ZSI	
RZ CAS	2453621.3881	6.3	ZSI	
SU CAS	2453621.3888	6	ZSI	
TU CAS	2453621.3895	8	ZSI	
TV CAS	2453621.3902	7.3	ZSI	
AI DRA	2453621.3944	7.1	ZSI	
MY CYG	2453621.3958	8.4	ZSI	
BETA PER	2453621.4000	2.6	ZSI	
RZ ARI	2453621.4083	6	ZSI	
T ARI	2453621.4104	9.2	ZSI	
BETA PER	2453621.4263	2.5	ZSI	
Z VUL	2453621.4291	7.7	ZSI	
RX AUR	2453621.4486	7.8	ZSI	
BETA PER	2453621.4493	2.4	ZSI	
Z VUL	2453621.4506	7.9	ZSI	
SS CYG	2453621.4527	8.5	ZSI	
EPS AUR	2453621.4541	3.1	ZSI	
ZETA AUR	2453621.4548	3.7	ZSI	
BETA PER	2453621.4673	2.2	ZSI	
Z VUL	2453621.4680	8.2	ZSI	
X PER	2453621.4833	6.1	ZSI	
Z VUL	2453621.4854	8.4	ZSI	
YY ERI	2453621.5083	8.6	ZSI	
Z VUL	2453621.5097	8.6	ZSI	
YY ERI	2453621.5208	8.5	ZSI	
R CRB	2453622.3166	6	ZSI	
U CRB	2453622.3173	7.7	ZSI	
BETA LYR	2453622.3180	3.8	ZSI	
DELTA CEP	2453622.3187	4.2	ZSI	
X CYG	2453622.3194	7.2	ZSI	
GO CYG	2453622.3201	8.6	ZSI	
MY CYG	2453622.3208	8.3	ZSI	
T VUL	2453622.3215	6	ZSI	
SS CYG	2453622.3222	8.5	ZSI	
AR LAC	2453622.3229	6.1	ZSI	
CM LAC	2453622.3236	8.2	ZSI	
Z LAC	2453622.3243	9	ZSI	
RR LAC	2453622.3250	8.9	ZSI	
X LAC	2453622.3256	8.3	ZSI	
V LAC	2453622.3263	9.1	ZSI	
GL LAC	2453622.3270	8.6	ZSI	
Z VUL	2453622.3277	7.3	ZSI	
RS VUL	2453622.3284	6.9	ZSI	
U SGE	2453622.3291	6.3	ZSI	
S SGE	2453622.3298	5.9	ZSI	
EE PEG	2453622.3305	6.9	ZSI	
S EQU	2453622.3312	8	ZSI	
TX DEL	2453622.3319	9.4	ZSI	
RZ CAS	2453622.3326	6.3	ZSI	
SU CAS	2453622.3333	6.1	ZSI	
TU CAS	2453622.3340	8.2	ZSI	
TV CAS	2453622.3347	7.3	ZSI	
R CRB	2453623.3048	6	ZSI	
U CRB	2453623.3055	7.7	ZSI	
BETA LYR	2453623.3062	4.3	ZSI	
DELTA CEP	2453623.3069	3.9	ZSI	
X CYG	2453623.3076	7.1	ZSI	
GO CYG	2453623.3083	8.4	ZSI	
Y CYG	2453623.3090	7.1	ZSI	
MY CYG	2453623.3097	8.3	ZSI	
AF CYG	2453623.3104	7.1	ZSI	
CH CYG	2453623.3111	7.9	ZSI	
RR LYR	2453623.3118	7.8	ZSI	
SS CYG	2453623.3125	8.4	ZSI	
CHI CYG	2453623.3131	8.3	ZSI	
TT CYG	2453623.3138	8	ZSI	
V449 CYG	2453623.3145	7.3	ZSI	
AR LAC	2453623.3152	6.1	ZSI	
CM LAC	2453623.3159	8.3	ZSI	
T VUL	2453623.3166	5	ZSI	
V VUL	2453623.3173	8.7	ZSI	
U SGE	2453623.3180	6.2	ZSI	
RS VUL	2453623.3187	6.8	ZSI	
Z VUL	2453623.3194	7.3	ZSI	
U VUL	2453623.3201	7.4	ZSI	
S SGE	2453623.3208	5.8	ZSI	
EE PEG	2453623.3215	6.9	ZSI	
S EQU	2453623.3222	9.1	ZSI	
TX DEL	2453623.3229	9.5	ZSI	
DM DEL	2453623.3243	8.5	ZSI	
U DEL	2453623.3250	7.2	ZSI	
EU DEL	2453623.3256	6.4	ZSI	
KP DEL	2453623.3263	8.9	ZSI	
RZ CAS	2453623.3270	6.4	ZSI	
SU CAS	2453623.3277	6.2	ZSI	
TU CAS	2453623.3284	8	ZSI	
TV CAS	2453623.3291	7.3	ZSI	
AI DRA	2453623.3298	7.1	ZSI	
Z LAC	2453623.3305	8.7	ZSI	
RR LAC	2453623.3312	9.2	ZSI	
X LAC	2453623.3319	8.4	ZSI	
V LAC	2453623.3326	8.6	ZSI	
GL LAC	2453623.3333	8.7	ZSI	
AC HER	2453623.3340	7.2	ZSI	
RS CYG	2453623.3347	7.5	ZSI	
P CYG	2453623.3354	5.1	ZSI	
W CYG	2453623.3361	6.5	ZSI	
V1339 CYG	2453623.3368	6.6	ZSI	
S EQU	2453623.3375	9	ZSI	
ETA AQL	2453623.3381	4.3	ZSI	
T CEP	2453623.3388	6.8	ZSI	
BETA PER	2453623.3395	2.2	ZSI	
R CRB	2453624.2631	5.9	ZSI	
R SCT	2453624.2638	6	ZSI	
BETA LYR	2453624.2645	3.8	ZSI	
DELTA CEP	2453624.2652	3.7	ZSI	
ETA AQL	2453624.2708	3.6	ZSI	
ZZ BOO	2453624.2715	6.8	ZSI	
X CYG	2453624.2722	7.2	ZSI	
GO CYG	2453624.2729	8.5	ZSI	
MY CYG	2453624.2736	8.3	ZSI	
Y CYG	2453624.2743	7.1	ZSI	
SS CYG	2453624.2750	8.4	ZSI	
AR LAC	2453624.2756	6.1	ZSI	
CM LAC	2453624.2763	8.2	ZSI	
BG LAC	2453624.2770	9.1	ZSI	
NSV 25832	2453624.2777	8.9	ZSI	
Z LAC	2453624.2784	8.4	ZSI	
RR LAC	2453624.2791	9.1	ZSI	
X LAC	2453624.2798	8.5	ZSI	
V LAC	2453624.2805	9	ZSI	
GL LAC	2453624.2812	8.5	ZSI	
RZ CAS	2453624.2819	6.3	ZSI	
SU CAS	2453624.2826	6.1	ZSI	
TU CAS	2453624.2833	8.2	ZSI	
TV CAS	2453624.2840	7.3	ZSI	
T VUL	2453624.3055	5.6	ZSI	
Z VUL	2453624.3062	7.3	ZSI	
S SGE	2453624.3069	5.4	ZSI	
AI DRA	2453624.3076	7.1	ZSI	
EE PEG	2453624.3083	6.9	ZSI	
S EQU	2453624.3090	8	ZSI	
TX DEL	2453624.3097	9.6	ZSI	
DM DEL	2453624.3111	8.5	ZSI	
RR LYR	2453624.3118	7.9	ZSI	
SS LAC	2453624.3159	10.5	ZSI	
OMI CET	2453624.4034	7.4	ZSI	
YY ERI	2453624.4687	8.5	ZSI	
YY ERI	2453624.4840	8.6	ZSI	
YY ERI	2453624.4979	8.6	ZSI	
YY ERI	2453624.5180	8.5	ZSI	
YY ERI	2453624.5361	8.4	ZSI	
YY ERI	2453624.5513	8.4	ZSI	
ZETA GEM	2453624.5673	3.7	ZSI	
YY ERI	2453624.5687	8.6	ZSI	
YY ERI	2453624.5847	8.8	ZSI	
R SCT	2453649.2645	7.8	ZSI	
BETA LYR	2453649.2652	4	ZSI	
DELTA CEP	2453649.2659	4	ZSI	
W CYG	2453649.2673	6.3	ZSI	
V1339 CYG	2453649.2680	6.5	ZSI	
X CYG	2453649.2687	6.4	ZSI	
V568 CYG	2453649.2694	6.4	ZSI	
GO CYG	2453649.2701	8.4	ZSI	
U DEL	2453649.2708	7	ZSI	
EU DEL	2453649.2715	6.4	ZSI	
S EQU	2453649.2722	8	ZSI	
Z VUL	2453649.2729	7.3	ZSI	
S SGE	2453649.2736	5.8	ZSI	
U SGE	2453649.2743	6.3	ZSI	
T VUL	2453649.2750	5.9	ZSI	
V VUL	2453649.2756	8.5	ZSI	
RZ CAS	2453649.2763	6.4	ZSI	
SU CAS	2453649.2770	6.3	ZSI	
TU CAS	2453649.2777	8.1	ZSI	
TV CAS	2453649.2784	7.3	ZSI	
AR LAC	2453649.2791	6.2	ZSI	
CM LAC	2453649.2798	8.2	ZSI	
NSV 25832	2453649.2805	9	ZSI	
T CEP	2453649.2812	6.2	ZSI	
KQ PUP	2453670.6583	4.9	ZSI	
R SCT	2453672.2152	7	ZSI	
ETA AQL	2453672.2159	4.1	ZSI	
BETA LYR	2453672.2166	3.5	ZSI	
DELTA CEP	2453672.2173	3.8	ZSI	
AC HER	2453672.2208	7.7	ZSI	
X HER	2453672.2229	6.2	ZSI	
U SGE	2453672.2236	6.3	ZSI	
RS VUL	2453672.2243	6.9	ZSI	
Z VUL	2453672.2250	7.3	ZSI	
S SGE	2453672.2256	5.9	ZSI	
S EQU	2453672.2263	8	ZSI	
TX DEL	2453672.2270	9.3	ZSI	
T VUL	2453672.2284	5.4	ZSI	
V VUL	2453672.2291	8.9	ZSI	
X CYG	2453672.2298	7.2	ZSI	
GO CYG	2453672.2305	8.5	ZSI	
V568 CYG	2453672.2312	6.4	ZSI	
Y CYG	2453672.2319	7.5	ZSI	
AF CYG	2453672.2326	7.3	ZSI	
CH CYG	2453672.2333	7.9	ZSI	
RZ CAS	2453672.2340	6.4	ZSI	
SU CAS	2453672.2347	6.2	ZSI	
TU CAS	2453672.2354	7.5	ZSI	
TV CAS	2453672.2361	7.3	ZSI	
U DEL	2453672.2368	6.9	ZSI	
EU DEL	2453672.2375	6.4	ZSI	
DM DEL	2453672.2381	8.6	ZSI	
W CYG	2453672.2388	6.9	ZSI	
V1339 CYG	2453672.2395	6.7	ZSI	
AR LAC	2453672.2402	6.3	ZSI	
CM LAC	2453672.2409	8.2	ZSI	
NSV 25832	2453672.2416	9	ZSI	
BETA PER	2453672.2423	2.2	ZSI	
EE PEG	2453672.2430	6.9	ZSI	
RR LYR	2453672.2437	8	ZSI	
RT CYG	2453672.2444	8.6	ZSI	
RS CYG	2453672.2451	7.4	ZSI	
AI DRA	2453672.2458	7.1	ZSI	
GAMMA CAS	2453672.2465	2.1	ZSI	
TV PSC	2453672.2479	5	ZSI	
TX PSC	2453672.2486	5.5	ZSI	
R PEG	2453672.2493	9.6	ZSI	
Z LAC	2453672.2791	8.6	ZSI	
RR LAC	2453672.2798	8.8	ZSI	
X LAC	2453672.2805	8.6	ZSI	
V LAC	2453672.2812	8.9	ZSI	
GL LAC	2453672.2819	8.6	ZSI	
BU TAU	2453672.2979	5.2	ZSI	
R ARI	2453672.3055	9.1	ZSI	
U ARI	2453672.3090	8.2	ZSI	
EG AND	2453672.3104	7.6	ZSI	
SS CYG	2453672.3145	11.4	ZSI	
OMI CET	2453672.3250	8.7	ZSI	
R CRB	2453673.2034	6	ZSI	
U CRB	2453673.2041	7.8	ZSI	
ZZ BOO	2453673.2048	6.8	ZSI	
R SER	2453673.2055	6.4	ZSI	
Z VUL	2453673.2104	7.3	ZSI	
RS VUL	2453673.2111	6.9	ZSI	
U SGE	2453673.2118	6.3	ZSI	
S SGE	2453673.2125	5.8	ZSI	
X CYG	2453673.2131	7.2	ZSI	
Y CYG	2453673.2138	7.5	ZSI	
GO CYG	2453673.2145	8.4	ZSI	
T VUL	2453673.2152	5.7	ZSI	
MY CYG	2453673.2159	8.3	ZSI	
DM DEL	2453673.2166	8.6	ZSI	
S EQU	2453673.2173	8	ZSI	
TX HER	2453673.2576	8.5	ZSI	
68U HER	2453673.2583	4.8	ZSI	
G HER	2453673.2590	5.5	ZSI	
R LYR	2453673.2631	4.6	ZSI	
TT CYG	2453673.2638	8.1	ZSI	
V449 CYG	2453673.2645	8	ZSI	
V1070 CYG	2453673.2743	7.5	ZSI	
AR LAC	2453673.2805	7	ZSI	
CM LAC	2453673.2812	8.2	ZSI	
BG LAC	2453673.2819	8.6	ZSI	
RT LAC	2453673.2826	9.3	ZSI	
Z LAC	2453673.2833	8.6	ZSI	
X LAC	2453673.2840	8.4	ZSI	
V LAC	2453673.2847	8.7	ZSI	
RR LAC	2453673.2854	8.7	ZSI	
GL LAC	2453673.2861	8.5	ZSI	
BETA LYR	2453673.2868	3.4	ZSI	
ETA AQL	2453673.2875	4.3	ZSI	
DELTA CEP	2453673.2881	4	ZSI	
AR LAC	2453673.2937	6.8	ZSI	
RZ CAS	2453673.2951	6.3	ZSI	
SU CAS	2453673.2958	6	ZSI	
TU CAS	2453673.2965	8.1	ZSI	
TV CAS	2453673.2972	7.3	ZSI	
VV CEP	2453673.3055	5.5	ZSI	
T CEP	2453673.3062	6	ZSI	
AR LAC	2453673.3069	6.8	ZSI	
GO CYG	2453673.3090	8.7	ZSI	
BETA PER	2453673.3097	2.1	ZSI	
RHO PER	2453673.3104	3.3	ZSI	
FM CAS	2453673.3173	9.3	ZSI	
R TAU	2453673.3298	8.7	ZSI	
RX AUR	2453673.3312	7.8	ZSI	
AR LAC	2453673.3333	6.7	ZSI	
GO CYG	2453673.3340	9	ZSI	
V523 MON	2453673.6625	7.2	ZSI	
V MON	2453673.7083	7.7	ZSI	
U MON	2453673.7090	7.2	ZSI	
T MON	2453673.7097	6.2	ZSI	
AX MON	2453673.7104	6.4	ZSI	
X PUP	2453673.7152	8.9	ZSI	
TY PUP	2453673.7159	8.6	ZSI	
R LEO	2453673.7166	8.9	ZSI	
X MON	2453673.8562	7.5	ZSI	
BETA LYR	2453674.3076	4	ZSI	
U SGE	2453674.3083	6.3	ZSI	
Z VUL	2453674.3090	7.5	ZSI	
S SGE	2453674.3097	5.6	ZSI	
X CYG	2453674.3104	7.1	ZSI	
MY CYG	2453674.3111	8.2	ZSI	
GO CYG	2453674.3118	8.4	ZSI	
T VUL	2453674.3125	6	ZSI	
AI DRA	2453674.3131	7	ZSI	
S EQU	2453674.3138	8	ZSI	
TX DEL	2453674.3145	9.1	ZSI	
DM DEL	2453674.3152	8.6	ZSI	
DELTA CEP	2453674.3159	4.2	ZSI	
BETA PER	2453674.3166	2.2	ZSI	
RZ CAS	2453674.3173	7.5	ZSI	
SU CAS	2453674.3180	6.2	ZSI	
TU CAS	2453674.3187	7.2	ZSI	
TV CAS	2453674.3194	7.3	ZSI	
AR LAC	2453674.3201	6.2	ZSI	
CM LAC	2453674.3208	8.2	ZSI	
BG LAC	2453674.3215	9	ZSI	
Z LAC	2453674.3222	8.7	ZSI	
RR LAC	2453674.3229	9	ZSI	
X LAC	2453674.3236	9	ZSI	
V LAC	2453674.3243	9.2	ZSI	
GL LAC	2453674.3250	8.5	ZSI	
EE PEG	2453674.3256	7	ZSI	
RZ CAS	2453674.3444	7.3	ZSI	
AG PEG	2453674.3472	8.9	ZSI	
RS CET	2453674.3479	8.4	ZSI	
RT AUR	2453674.3527	5.1	ZSI	
WW AUR	2453674.3534	5.6	ZSI	
RX AUR	2453674.3555	7.6	ZSI	
U SGE	2453675.1909	6.3	ZSI	
Z VUL	2453675.1916	7.3	ZSI	
RS VUL	2453675.1923	6.9	ZSI	
S SGE	2453675.1930	5.4	ZSI	
ETA AQL	2453675.1937	3.6	ZSI	
BETA LYR	2453675.1944	4.1	ZSI	
DELTA CEP	2453675.1951	4.3	ZSI	
TX HER	2453675.1958	8.4	ZSI	
68U HER	2453675.1965	4.7	ZSI	
R SCT	2453675.1972	6	ZSI	
S SCT	2453675.1979	7.5	ZSI	
EE PEG	2453675.1986	6.9	ZSI	
S EQU	2453675.1993	8	ZSI	
TX DEL	2453675.2000	8.9	ZSI	
DM DEL	2453675.2006	8.6	ZSI	
RZ CAS	2453675.2013	6.3	ZSI	
SU CAS	2453675.2020	6.1	ZSI	
TU CAS	2453675.2027	8	ZSI	
TV CAS	2453675.2034	7.3	ZSI	
AR LAC	2453675.2041	6.4	ZSI	
CM LAC	2453675.2048	8.3	ZSI	
BG LAC	2453675.2055	9	ZSI	
Z LAC	2453675.2062	9	ZSI	
RR LAC	2453675.2069	8.9	ZSI	
X LAC	2453675.2076	8.4	ZSI	
V LAC	2453675.2083	8.9	ZSI	
GL LAC	2453675.2090	8.5	ZSI	
X CYG	2453675.2097	6.8	ZSI	
Y CYG	2453675.2104	7.2	ZSI	
GO CYG	2453675.2111	8.4	ZSI	
T VUL	2453675.2118	6.1	ZSI	
R SCT	2453676.2715	5.8	ZSI	
BETA LYR	2453676.2722	3.7	ZSI	
ETA AQL	2453676.2729	3.7	ZSI	
DELTA CEP	2453676.2736	3.7	ZSI	
U SGE	2453676.2743	6.3	ZSI	
Z VUL	2453676.2750	7.3	ZSI	
S SGE	2453676.2756	5.7	ZSI	
U VUL	2453676.2763	7.5	ZSI	
DM DEL	2453676.2770	8.7	ZSI	
S EQU	2453676.2777	8	ZSI	
TX DEL	2453676.2784	8.9	ZSI	
U DEL	2453676.2791	6.8	ZSI	
EU DEL	2453676.2798	6.5	ZSI	
T VUL	2453676.2916	5.1	ZSI	
RZ CAS	2453676.3048	6.2	ZSI	
SU CAS	2453676.3055	6.1	ZSI	
TU CAS	2453676.3062	7.4	ZSI	
TV CAS	2453676.3069	7.6	ZSI	
YY ERI	2453676.4486	8.5	ZSI	
ZETA GEM	2453676.4493	3.7	ZSI	
ETA GEM	2453676.4500	3.4	ZSI	
R TAU	2453676.4541	8.8	ZSI	
RX AUR	2453676.4548	7.4	ZSI	
YY ERI	2453676.4756	8.6	ZSI	
R LEP	2453676.4812	10.2	ZSI	
R SCT	2453679.2013	5.6	ZSI	
U SGE	2453679.2020	6.3	ZSI	
Z VUL	2453679.2027	7.5	ZSI	
S SGE	2453679.2034	5.4	ZSI	
AF CYG	2453679.2041	7.3	ZSI	
CH CYG	2453679.2048	7.9	ZSI	
RT CYG	2453679.2055	8.1	ZSI	
X CYG	2453679.2062	6.1	ZSI	
V568 CYG	2453679.2069	6.4	ZSI	
GO CYG	2453679.2076	8.4	ZSI	
Y CYG	2453679.2083	7.3	ZSI	
T VUL	2453679.2090	6	ZSI	
W CYG	2453679.2097	6.9	ZSI	
V1339 CYG	2453679.2104	6.6	ZSI	
AR LAC	2453679.2111	6.9	ZSI	
CM LAC	2453679.2118	8.2	ZSI	
P CYG	2453679.2125	4.9	ZSI	
RS CYG	2453679.2131	7.4	ZSI	
DM DEL	2453679.2138	8.7	ZSI	
S EQU	2453679.2145	8.1	ZSI	
TX DEL	2453679.2152	9.3	ZSI	
EE PEG	2453679.2159	7	ZSI	
RZ CAS	2453679.2166	6.4	ZSI	
SU CAS	2453679.2173	6.2	ZSI	
TU CAS	2453679.2180	7.9	ZSI	
TV CAS	2453679.2187	7.3	ZSI	
DELTA CEP	2453679.2194	4.1	ZSI	
Z LAC	2453679.2201	8.3	ZSI	
RR LAC	2453679.2208	8.7	ZSI	
X LAC	2453679.2215	8.7	ZSI	
V LAC	2453679.2222	9.2	ZSI	
GL LAC	2453679.2229	8.6	ZSI	
BETA PEG	2453679.2236	2.9	ZSI	
EG AND	2453679.2243	7.5	ZSI	
T CEP	2453679.2250	6.2	ZSI	
BETA LYR	2453679.2256	3.5	ZSI	
ETA AQL	2453679.2263	4	ZSI	
BETA PER	2453679.2270	2.2	ZSI	
R SCT	2453687.2027	4.8	ZSI	
R PEG	2453703.3354	8.3	ZSI	
TX PSC	2453703.3361	5.3	ZSI	
OMI CET	2453703.3375	9	ZSI	
R TAU	2453703.3388	9	ZSI	
RZ CAS	2453703.3395	6.3	ZSI	
SU CAS	2453703.3402	6.1	ZSI	
TU CAS	2453703.3409	7.9	ZSI	
TV CAS	2453703.3416	7.3	ZSI	
RX AUR	2453703.3430	7.7	ZSI	
RT AUR	2453703.3437	5.3	ZSI	
WW AUR	2453703.3444	5.6	ZSI	
RZ ARI	2453703.3479	6.3	ZSI	
UU AUR	2453703.3520	5.9	ZSI	
Y LYN	2453703.3534	7.6	ZSI	
BETA PER	2453703.3541	2.1	ZSI	
RHO PER	2453703.3548	3.4	ZSI	
EPS AUR	2453703.3555	3	ZSI	
ZETA AUR	2453703.3562	3.7	ZSI	
YY ERI	2453703.3576	8.6	ZSI	
T MON	2453703.3583	5.8	ZSI	
T CEP	2453703.3590	6.4	ZSI	
GAMMA CAS	2453703.3597	2.2	ZSI	
DELTA CEP	2453703.3604	3.7	ZSI	
VV CEP	2453703.3604	5.4	ZSI	
MIU CEP	2453703.3611	4	ZSI	
R SCT	2453704.1673	5.2	ZSI	
X HER	2453704.1680	6.8	ZSI	
G HER	2453704.1687	5.4	ZSI	
68U HER	2453704.1694	4.9	ZSI	
AI DRA	2453704.1701	7.1	ZSI	
BETA LYR	2453704.1708	3.4	ZSI	
ETA AQL	2453704.1715	3.8	ZSI	
S SGE	2453704.1722	5.5	ZSI	
U SGE	2453704.1729	6.3	ZSI	
RS VUL	2453704.1736	6.9	ZSI	
Z VUL	2453704.1743	7.3	ZSI	
S EQU	2453704.1750	8	ZSI	
U DEL	2453704.1756	6.8	ZSI	
EU DEL	2453704.1763	6.3	ZSI	
KP DEL	2453704.1770	8.6	ZSI	
DM DEL	2453704.1777	8.7	ZSI	
R LYR	2453704.1791	4.6	ZSI	
AC HER	2453704.1805	7.6	ZSI	
AF CYG	2453704.1819	7	ZSI	
CH CYG	2453704.1826	7.9	ZSI	
RT CYG	2453704.1854	6.6	ZSI	
RR LYR	2453704.1861	7.8	ZSI	
X CYG	2453704.1868	7	ZSI	
V568 CYG	2453704.1875	6.5	ZSI	
BETA PER	2453704.2611	2.2	ZSI	
GO CYG	2453704.2618	8.4	ZSI	
Y CYG	2453704.2625	7.3	ZSI	
W CYG	2453704.2631	6.7	ZSI	
V1339 CYG	2453704.2638	6.3	ZSI	
AR LAC	2453704.2645	6.2	ZSI	
CM LAC	2453704.2652	8.2	ZSI	
RZ CAS	2453704.2659	6.3	ZSI	
SU CAS	2453704.2666	6.1	ZSI	
TU CAS	2453704.2673	7.6	ZSI	
TV CAS	2453704.2680	7.2	ZSI	
TV PSC	2453704.2687	5.1	ZSI	
BU TAU	2453704.2694	5.4	ZSI	
EE PEG	2453704.2708	6.9	ZSI	
AG PEG	2453704.2715	9	ZSI	
RX AUR	2453704.2722	7.45	ZSI	
EG AND	2453704.2729	7.5	ZSI	
Z LAC	2453704.2736	8.4	ZSI	
X LAC	2453704.2750	8.3	ZSI	
GL LAC	2453704.2763	8.6	ZSI	
BETA PER	2453704.2916	2.4	ZSI	
DELTA CEP	2453704.2923	3.8	ZSI	
BU TAU	2453782.3305	5.2	ZSI	
T MON	2453782.3312	6.5	ZSI	
ETA GEM	2453782.3319	3.4	ZSI	
TY PUP	2453785.3611	8.5	ZSI	
X PUP	2453785.3618	8.4	ZSI	
KQ PUP	2453785.3625	4.8	ZSI	
RX AUR	2453785.3673	8	ZSI	
W CMA	2453785.3750	7.4	ZSI	
U MON	2453785.3763	5.6	ZSI	
X MON	2453785.3784	8.3	ZSI	
V523 MON	2453785.3791	7.4	ZSI	
EPS AUR	2453785.3805	3	ZSI	
ALPHA ORI	2453785.3812	0.4	ZSI	
ETA GEM	2453785.3819	3.5	ZSI	
ZETA GEM	2453785.3826	3.8	ZSI	
R LEO	2453785.3840	8.5	ZSI	
RT AUR	2453785.3854	5.3	ZSI	
WW AUR	2453785.3861	5.6	ZSI	
Z UMA	2453785.3923	7.9	ZSI	
ST UMA	2453785.3958	6.9	ZSI	
V CVN	2453785.3972	6.6	ZSI	
BR CVN	2453785.3979	6.8	ZSI	
TU CVN	2453785.4000	5.9	ZSI	
Y CVN	2453785.4006	5.8	ZSI	
ZETA GEM	2453794.2722	3.7	ZSI	
ETA GEM	2453794.2729	3.5	ZSI	
BETA PER	2453794.2736	2.1	ZSI	
RHO PER	2453794.2743	3.6	ZSI	
CK ORI	2453797.2368	6.5	ZSI	
VV ORI	2453797.2375	5.6	ZSI	
YY ERI	2453797.2395	8.6	ZSI	
T MON	2453797.2451	6.4	ZSI	
W GEM	2453797.2500	6.9	ZSI	
V505 MON	2453797.2520	6.9	ZSI	
RZ CAS	2453797.2527	6.3	ZSI	
SU CAS	2453797.2534	6.3	ZSI	
TU CAS	2453797.2541	8.2	ZSI	
TV CAS	2453797.2548	7.4	ZSI	
YY ERI	2453797.2562	8.5	ZSI	
BETA PER	2453797.2569	2.2	ZSI	
ZETA GEM	2453797.2576	3.9	ZSI	
V635 MON	2453797.2611	7.5	ZSI	
U MON	2453797.3534	5.9	ZSI	
X MON	2453797.3541	8	ZSI	
V523 MON	2453797.3548	7.6	ZSI	
Z UMA	2453797.3562	7.5	ZSI	
RT AUR	2453797.3590	5.6	ZSI	
WW AUR	2453797.3597	5.6	ZSI	
RX AUR	2453797.3604	8.1	ZSI	
KW HYA	2453797.3645	6	ZSI	
V CVN	2453797.3673	6.7	ZSI	
TU CVN	2453797.3680	6.1	ZSI	
Y CVN	2453797.3687	5.7	ZSI	
R CRB	2453797.6381	6	ZSI	
U CRB	2453797.6388	7.8	ZSI	
ZZ BOO	2453797.6395	6.8	ZSI	
W BOO	2453797.6402	5.3	ZSI	
V BOO	2453797.6409	8.9	ZSI	
BETA LYR	2453797.6423	3.8	ZSI	
AI DRA	2453797.6430	7	ZSI	
DELTA LIB	2453797.6486	4.9	ZSI	
DELTA CEP	2453797.6493	4.1	ZSI	
RS OPH	2453797.6562	8.1	ZSI	
Y OPH	2453797.6569	6.1	ZSI	
AF CYG	2453797.6611	7	ZSI	
CH CYG	2453797.6618	8	ZSI	
X CYG	2453797.6625	6.6	ZSI	
V568 CYG	2453797.6631	6.4	ZSI	
GO CYG	2453797.6638	8.6	ZSI	
R SCT	2453797.6645	7.7	ZSI	
Z VUL	2453797.6652	7.3	ZSI	
U SGE	2453797.6659	6.3	ZSI	
S SGE	2453797.6666	5.7	ZSI	
R CRB	2453939.3437	5.9	ZSI	
BETA LYR	2453939.3444	3.8	ZSI	
DELTA CEP	2453939.3451	3.7	ZSI	
ETA AQL	2453939.3458	4	ZSI	
ZZ BOO	2453939.3541	6.8	ZSI	
R SCT	2453939.3548	6.7	ZSI	
U SGE	2453939.3562	6.3	ZSI	
Z VUL	2453939.3569	7.3	ZSI	
T VUL	2453939.3645	5.7	ZSI	
V VUL	2453939.3652	8.8	ZSI	
R LYR	2453939.3659	4.6	ZSI	
U DEL	2453939.3666	6.9	ZSI	
EU DEL	2453939.3673	6.3	ZSI	
RHO CAS	2453939.3750	4.8	ZSI	
RZ CAS	2453939.3756	6.3	ZSI	
SU CAS	2453939.3763	6.1	ZSI	
TV CAS	2453939.3770	7.3	ZSI	
TU CAS	2453939.3777	7.4	ZSI	
GAMMA CAS	2453939.3784	2.2	ZSI	
S EQU	2453939.3847	9.5	ZSI	
TX DEL	2453939.3854	9.4	ZSI	
DM DEL	2453939.3861	8.6	ZSI	
AF CYG	2453939.4027	7.2	ZSI	
CHI CYG	2453939.4034	3.9	ZSI	
CH CYG	2453939.4041	8	ZSI	
RT CYG	2453939.4048	8.5	ZSI	
R CYG	2453939.4055	6.8	ZSI	
S EQU	2453939.4111	9.3	ZSI	
AI DRA	2453939.4118	7.1	ZSI	
X HER	2453939.4125	6.8	ZSI	
X CYG	2453939.4270	6.2	ZSI	
V568 CYG	2453939.4277	6.4	ZSI	
GO CYG	2453939.4284	8.6	ZSI	
T CEP	2453939.4340	8.6	ZSI	
S CEP	2453939.4347	8.4	ZSI	
