GWIAZDA	jd	mag	idobs	kom
ZETA AUR	2453347.2715	3.8	ZSI	
RZ ARI	2453347.3528	6.2	ZSI	
RS CET	2453347.3583	8.3	ZSI	
U ORI	2453347.3611	9	ZSI	
ETA GEM	2453347.3639	3.4	ZSI	
ZETA GEM	2453347.3646	3.5	ZSI	
BU GEM	2453347.3688	6.5	ZSI	
T MON	2453347.3694	6.4	ZSI	
AX MON	2453347.3708	6.6	ZSI	
V505 MON	2453347.3771	7.2	ZSI	
WW AUR	2453347.3806	5.6	ZSI	
RT AUR	2453347.3819	5.7	ZSI	
V MON	2453347.3889	7.9	ZSI	
BETA LYR	2453351.1813	4.2	ZSI	
BETA PER	2453351.1819	2.1	ZSI	
RS VUL	2453351.1833	7	ZSI	
Z VUL	2453351.1840	7.4	ZSI	
X SGE	2453351.1861	8.9	ZSI	
U VUL	2453351.1868	7.6	ZSI	
S SGE	2453351.1882	5.4	ZSI	
AI DRA	2453351.1889	7.1	ZSI	
DELTA CEP	2453351.1896	4	ZSI	
X VUL	2453351.1917	9	ZSI	
R LYR	2453351.1931	4.6	ZSI	
U DEL	2453351.2021	6.5	ZSI	
EU DEL	2453351.2028	6.2	ZSI	
KP DEL	2453351.2035	8.6	ZSI	
RR LYR	2453351.2049	7.5	ZSI	
AF CYG	2453351.2056	6.9	ZSI	
RT CYG	2453351.2083	7.4	ZSI	
CH CYG	2453351.2090	8.2	ZSI	
Z CYG	2453351.2125	8.8	ZSI	
T VUL	2453351.2146	5.9	ZSI	
V VUL	2453351.2153	8.5	ZSI	
